"HotFixID","InstalledOn","PSComputerName","RunspaceId","PSShowComputerName"
"KB3080149","Mittwoch 25 Mai 2016","WAR04DBAMS4-1.mmsrg.net","39275cc6-61bf-49f5-a980-7d24c5b46b7b","True"
"KB3080149","Dienstag 17 August 2021","HGL04DBAMM1-1.mmsrg.net","fb8ef7cc-5afc-49a2-99bb-c605b37e7329","True"
